httpRequest.cacheLookup,httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"'jsonPayload.@type",jsonPayload.backendTargetProjectNumber,jsonPayload.cacheDecision,jsonPayload.cacheId,jsonPayload.remoteIp,jsonPayload.statusDetails,labels.INSTANCE_UID,labels.LOG_BUCKET_NUM,labels.PROJECT_NUMBER,labels.SOURCE_ID,labels.container_name,labels.instanceId,labels.scaling_reason,logName,receiveLocation,receiveTimestamp,resource.labels.backend_service_name,resource.labels.configuration_name,resource.labels.database_id,resource.labels.forwarding_rule_name,resource.labels.location,resource.labels.project_id,resource.labels.region,resource.labels.revision_name,resource.labels.service_name,resource.labels.target_proxy_name,resource.labels.url_map_name,resource.labels.zone,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
,,,,,,,,,,,69943eff0003cc578db11c97,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:15.561095135Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,✅ [WRAPPER] Binaire trouvé et exécutable,"'2026-02-17T10:12:15.248919Z",,
,,,,,,,,,,,69943eff0003025539271e28,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:15.229784767Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🔍 [WRAPPER] Vérification du binaire Rust...,"'2026-02-17T10:12:15.197205Z",,
,,,,,,,,,,,69943eff0003022fe5159329,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:15.229784767Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,✅ [WRAPPER] Port 8080 est libre,"'2026-02-17T10:12:15.197167Z",,
,,,,,,,,,,,69943eff0002fbd4a6c9706e,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:15.229784767Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"'✅ [WRAPPER] Port libéré, démarrage de Rust...","'2026-02-17T10:12:15.195540Z",,
,,,,,,,,,,,69943efa0002ee3b5cbc0a77,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:10.234497387Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,⏳ [WRAPPER] Attente libération du port (5 secondes)...,"'2026-02-17T10:12:10.192059Z",,
,,,,,,,,,,,69943efa0002e4321a0b7651,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:10.234497387Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🛑 [WRAPPER] Arrêt du serveur Python pour libérer le port...,"'2026-02-17T10:12:10.189490Z",,
,,,,,,,,,,,69943efa000289533d4e3838,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fvarlog%2Fsystem",,"'2026-02-17T10:12:10.504484769Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,INFO,,"'STARTUP HTTP probe succeeded after 1 attempt for container ""yukpo-backend-1"" on port 8080 path ""/health"".","'2026-02-17T10:12:10.166227Z",,
,,,,,,,,,,,69943efa000287025a11d52f,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstderr",,"'2026-02-17T10:12:10.279825762Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,[HEALTH] GET /health HTTP/1.1,"'2026-02-17T10:12:10.165634Z",,
,,,,,,,,,,,69943ef50002d3354ddd8c6f,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:05.239843303Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,⏳ [WRAPPER] Attente que Cloud Run détecte le serveur Python (5 secondes)...,"'2026-02-17T10:12:05.185141Z",,
,,,,,,,,,,,69943ef50002d307fc9cd8f7,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:05.239843303Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"'✅ [WRAPPER] Serveur HTTP minimal prêt, Cloud Run devrait le détecter...","'2026-02-17T10:12:05.185095Z",,
